pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature
8.14,617,0,36,94,200,60,12,45,401,23.0532271
7.97,1470,0,192,95,415,136,18,122,956,24.64148574
8.13,511,0,11,11,170,50,11,32,332,24.6776407
8.14,320,0,25,23,130,40,7,5,208,23.07650677
7.87,1805,0,231,168,435,150,15,183,1173,23.57056368
8.13,678,0,75,24,215,72,9,52,441,24.28910985
8.14,404,0,14,4.23,145,54,2,25,263,23.31788425
8.17,607,0,53,17,205,70,7,42,395,22.42092644
8.2,693,0,124,17,220,66,11,51,450,22.34928308
8.16,556,0,28,35,205,70,7,30,361,22.57012496
8.13,560,0,21,47,215,64,13,29,364,24.3317335
8.16,426,0,14,4.81,140,44,7,31,277,24.46126379
8.07,1089,0,46,132,360,132,7,71,708,23.37420918
8.15,438,0,25,35,105,32,6,46,285,24.26385488
8.12,517,0,11,31,155,38,15,44,336,22.15557744
8.13,834,0,50,58,285,108,4,58,542,22.61859371
8.15,850,0,71,34,300,110,6,53,553,22.54933549
8.14,769,0,28,58,275,96,9,47,500,22.09204318
8.02,1245,0,75,180,395,134,15,98,809,22.8723231
8.16,565,0,18,5.49,200,54,16,34,367,24.06477709
8.19,508,0,43,21,210,70,9,12,330,24.04315823
8.12,452,0,11,40,150,46,9,28,294,24.82253937
8.19,798,0,153,17,340,102,21,23,519,23.90595823
8.14,630,0,11,46,220,68,12,39,410,22.95145111
8.13,535,0,39,36,135,42,7,50,348,22.63476816
8.16,558,0,110,27,150,32,17,59,363,24.51565977
8.19,356,0,14,6.66,125,40,6,20,231,23.66844268
8.14,310,0,18,8.19,135,32,13,6,202,24.17734836
8.14,349,0,18,8.54,140,48,5,12,227,22.19835723
8.16,256,0,14,5.19,95,32,4,12,166,23.41968481
8.13,425,0,11,2.29,170,56,7,14,276,22.95359751
8.1,1054,0,121,54,305,54,41,76,685,23.43223159
8.16,507,0,43,20,170,62,4,35,330,24.58505844
8.11,677,0,46,15,250,24,46,34,440,23.05940186
8.17,373,0,28,34,120,40,5,24,242,24.40956227
8.06,808,0,96,52,270,68,24,55,525,22.99638762
8.01,673,0,60,41,200,56,15,58,437,24.8159098
7.99,687,0,96,33,270,44,39,31,447,23.3118564
7.91,954,0,96,41,340,62,45,56,620,23.06486546
8.14,719,0,43,11,195,66,7,68,467,24.10415575
8.11,1524,0,142,76,500,102,60,90,991,23.69078422
8.16,375,0,21,11,150,32,17,15,244,24.181465
8.17,423,0,21,8.19,160,22,26,18,275,24.83999737
8.04,1102,0,117,41,300,14,64,110,716,24.2666814
8.16,536,0,53,21,210,34,30,22,348,22.40480662
8.01,481,0,64,22,190,22,33,18,313,23.99656954
