pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature
7.8,340,0,21,14,144,38,12,11.26,803.5824542,25.97127251
7.72,1870,0,326,93,577,121,67,151.2,803.5824542,26.38097591
7.84,540,0,25,18,231,52,25,15.6,803.5824542,26.35953257
7.91,680,0,86,53,202,37,27,58.8,803.5824542,26.72091257
7.79,870,0,132,19,269,65,26,74.52,803.5824542,27.83809696
7.51,1110,0,178,27,313,75,30,109.55,803.5824542,28.55995373
8.05,560,0,25,5,236,38,34,17.82,803.5824542,26.51862099
7.86,1150,0,213,67,318,71,34,114.77,803.5824542,28.47980992
7.68,680,0,81,19,212,48,22,58.36,803.5824542,28.93912739
7.93,430,0,32,16,164,37,17,22.3,803.5824542,25.46268724
7.85,470,0,21,18,197,35,27,14.07,803.5824542,28.07282743
7.91,420,0,35,2,156,28,21,22.3,803.5824542,28.7202884
8.1,1090,0,153,68,312,72,32,94.1,803.5824542,29.23802698
8.1,510,0,21,17,212,40,27,14.93,803.5824542,27.00382728
8.05,930,0,146,31,245,45,32,96.8,803.5824542,25.39763826
7.83,490,0,38,10,198,36,26,20.91,803.5824542,27.44152768
8.2,1040,0,108,20,345,57,49,74.3,803.5824542,29.30252883
7.86,820,0,70,26,312,49,46,44.11,803.5824542,25.31103626
7.47,3170,0,739,5,727,174,71,386,803.5824542,25.46509669
8.21,850,0,136,10,231,43,30,85.8,803.5824542,25.03927616
8.01,800,0,63,13,288,53,38,41.5,803.5824542,25.94056276
8.18,1530,0,185,84,387,74,49,121.3,803.5824542,26.51092108
8.18,740,0,95,44,241,43,32,49.78,803.5824542,29.82683066
8.12,1030,0,190,27,241,42,33,103.4,803.5824542,28.05426714
8.3,300,0,28,13,189,53,13,21,803.5824542,25.18135184
8.13,650,0,100,55,301,53,40,81,803.5824542,27.97097598
8.4,400,3,14,14,158,22,24,95,803.5824542,26.94438212
8.3,900,0,67,31,219,43,27,112,803.5824542,26.2265007
8.2,900,0,91,66,357,45,58,62,803.5824542,25.29597128
8.2,1100,0,135,25,260,35,41,145,803.5824542,27.04330114
8.4,300,3,21,6,133,29,15,18,803.5824542,28.44556903
8.3,400,0,19,4,158,37,16,30,803.5824542,28.68256978
8.2,450,0,49,9,199,37,26,31,803.5824542,29.00097273
8.1,500,0,51,30,138,41,9,54,803.5824542,28.48251339
8.3,1600,0,153,48,423,31,83,195,803.5824542,25.10757363
8.4,1550,3,174,57,265,31,45,240,803.5824542,27.47314739
8.2,600,0,49,24,168,31,22,76,803.5824542,29.66751142
8.1,750,0,111,44,270,33,45,63,803.5824542,27.65839536
8.2,550,0,26,16,194,39,23,44,803.5824542,27.966786
8.4,850,3,53,30,265,72,21,44,803.5824542,25.18895219
8,450,0,56,27,153,20,24,43,803.5824542,26.43893519
8.1,200,0,14,24,36,53,-23,35,803.5824542,26.5400119
8,1100,0,221,42,403,106,33,88,803.5824542,29.35459593
8,1800,0,362,115,439,80,57,255,803.5824542,28.96708002
8.2,450,0,14,24,204,59,13,15,803.5824542,25.93312834
8.2,650,0,58,17,87,35,26,74,803.5824542,26.95584328
8.2,200,0,7,0,56,22,13,10,803.5824542,26.23049197
8.3,750,0,60,26,92,37,33,67,803.5824542,29.71344202
8.1,850,0,102,34,107,43,49,77,803.5824542,26.85270199
7.9,550,0,84,30,153,61,18,35,803.5824542,27.24744348
7.9,900,0,142,36,204,82,30,59,803.5824542,28.76722709
8.5,450,6,21,13,92,37,17,19,803.5824542,26.69570127
8.4,400,3,26,16,87,35,12,36,803.5824542,25.73809548
8,650,0,72,18,122,49,44,22,803.5824542,28.41211487
8.4,700,3,28,7,46,18,58,48,803.5824542,27.40287883
8.4,450,3,14,9,66,27,30,32,803.5824542,27.80719355
8.4,450,3,30,19.4,82,33,35,16,803.5824542,25.37429523
8.4,400,3,14,3,97,39,2,52,803.5824542,27.27330692
8.4,750,3,46,28,163,65,15,33,803.5824542,25.70432706
8.2,900,0,121,42,189,76,57,25,803.5824542,26.59531042
7.9,550,0,67,26,87,35,24,60,803.5824542,28.19175855
8.2,750,0,58,44,56,22,46,75,803.5824542,28.13691206
7.7,300,0,12,27,61,25,11,17,803.5824542,26.85395664
7.8,950,0,79,144,179,72,49,62,803.5824542,25.3731825
7.9,350,0,21,19,71,29,16,23,803.5824542,29.08752093
7.7,650,0,77,40,122,49,26,58,803.5824542,25.27158362
8.2,550,0,28,69,61,25,18,79,803.5824542,25.01123672
8.2,1200,0,130,140,122,49,66,73,803.5824542,27.48838799
8.3,600,0,70,25,61,25,19,87,803.5824542,25.45254809
8,470,0,67,35,184,67,4,20,803.5824542,27.86549421
8.2,580,0,42,25,224,41,30,29,803.5824542,29.37004513
8.4,1070,3,128,65,291,29,53,108,803.5824542,28.65816598
8.4,750,3,37,15,296,45,45,36,803.5824542,29.43359873
8.1,580,0,72,35,250,72,17,15,803.5824542,26.98290249
8.3,550,0,30,25,219,72,9,22,803.5824542,25.31488466
8.1,620,0,72,32,265,70,22,19,803.5824542,27.10521707
8.4,580,3,30,32,224,49,25,27,803.5824542,26.00390314
8.2,520,0,33,28,204,53,17,20,803.5824542,25.756489
8.2,520,0,72,34,219,76,7,17,803.5824542,28.2912821
8.4,920,3,60,60,270,33,46,82,803.5824542,26.18496171
8.3,840,0,46,57,230,37,33,83,803.5824542,29.91225688
8.2,220,0,12,8,66,16,6,19,803.5824542,29.54334199
8.1,540,0,77,34,230,57,21,17,803.5824542,26.36003047
8.5,720,6,84,52,240,53,26,54,803.5824542,27.04020413
8,670,0,91,57,224,47,26,50,803.5824542,29.17510833
8.3,570,0,49,25,224,29,37,27,803.5824542,27.03742593
8.3,380,0,39,25,138,31,15,22,803.5824542,26.27814851
8.5,1070,6,81,49,434,47,77,44,803.5824542,25.93403435
8.4,640,3,56,60,168,25,26,65,803.5824542,28.69110022
8.1,210,0,7,0,77,8,14,10,803.5824542,25.83026739
8.4,730,3,35,10,286,12,62,34,803.5824542,25.53885751
7.51,1190,0,187,74,360,64,49,87,803.5824542,26.93878465
7.45,1530,0,287,83,510,88,70,108,803.5824542,28.97086157
7.47,410,0,47,30,165,28,23,15,803.5824542,25.48925965
8.15,890,0,102,61,270,48,36,73,803.5824542,29.88195256
7.66,1050,0,215,45,330,44,53,86,803.5824542,28.3273383
7.84,480,0,47,20,185,38,22,24,803.5824542,25.38745573
7.93,650,0,97,45,265,60,28,26,803.5824542,25.9716109
8.2,1450,0,92,61,275,24,52,204,803.5824542,28.85477769
7.79,490,0,27,5,230,14,47,4.8,803.5824542,25.30563922
7.67,1170,0,222,32,285,36,47,118,803.5824542,27.60955966
7.46,910,0,137,70,310,72,32,64,803.5824542,26.04778278
7.49,1020,0,195,55,365,60,52,64,803.5824542,25.72379102
7.59,400,0,10,8,160,32,19,15,803.5824542,25.79914729
7.67,390,0,27,23,145,34,15,22,803.5824542,26.23051573
8.02,690,0,40,49,205,42,24,63,803.5824542,25.88173193
8.13,320,0,7,18,115,36,6,20,803.5824542,27.52273768
8.24,1790,0,120,119,135,28,16,344,803.5824542,25.06397566
8.23,480,0,17,17,175,42,17,29,803.5824542,28.10208154
8.02,980,0,172,5,255,50,32,106,803.5824542,25.41066082
8.09,480,0,20,2,180,24,29,25,803.5824542,28.71225886
7.85,460,0,30,45,190,56,12,18,803.5824542,28.46777286
7.91,520,0,55,20,200,60,12,26,803.5824542,26.02694078
7.81,500,0,20,8,150,24,22,44,803.5824542,25.95694014
7.97,420,0,40,28,160,40,15,20,803.5824542,26.75878481
7.67,570,0,52,10,200,32,29,37,803.5824542,29.0254453
7.59,1100,0,185,31,300,48,44,110,803.5824542,26.76823577
7.64,570,0,40,40,170,34,21,50,803.5824542,26.09648355
7.42,780,0,97,10,185,50,15,92,803.5824542,29.79096498
8.03,360,0,10,5,90,24,7,40,803.5824542,26.19172935
7.6,690,0,87,8,130,44,5,88,803.5824542,25.15805217
8.1,460,0,27,5,150,34,16,34,803.5824542,28.6715011
7.99,370,0,15,3,160,28,22,10,803.5824542,27.07278611
8.21,870,0,100,24,290,72,27,65,803.5824542,27.56097739
7.98,870,0,85,16,275,68,26,60,803.5824542,26.23084987
8.1,610,0,25,63,250,86,9,16,803.5824542,26.81029915
7.53,770,0,107,34,170,26,26,85,803.5824542,27.77778895
7.55,440,0,32,22,180,30,26,16,803.5824542,25.40256684
7.94,650,0,55,37,240,70,16,37,803.5824542,25.99175407
7.74,550,0,55,15,195,42,22,34,803.5824542,27.31510175
8.07,630,0,55,29,200,64,10,46,803.5824542,27.29335893
7.95,920,0,77,29,300,80,24,59,803.5824542,29.96697641
8,480,0,37,2,175,46,15,24,803.5824542,27.84788553
8.4,420,3,23,25,168,31,22,16.7,803.5824542,27.26471306
8.1,410,0,63,8,153,49,7,21,803.5824542,27.07488206
8.5,1200,6,93,43,97,16,14,230,803.5824542,28.54388069
8.3,690,0,74,24,245,33,39,44,803.5824542,28.35508133
8.4,430,3,23,4,173,39,18,17,803.5824542,27.79317126
8.2,710,0,135,28,209,39,27,63,803.5824542,28.98252114
7.85,370,0,35,6,140,24,19,17,803.5824542,28.30624939
8.11,1160,0,150,48,475,110,49,43,803.5824542,26.68422829
8.12,530,0,52,16,200,46,21,27,803.5824542,27.64396933
8.29,480,0,20,1,140,20,22,41,803.5824542,29.12919181
7.9,460,0,40,0,190,40,22,16,803.5824542,25.013635
7.66,280,0,30,4,90,16,12,11,803.5824542,25.13362634
7.99,500,0,55,7,175,38,19,20,803.5824542,28.5462644
8.05,330,0,25,1,140,42,9,10,803.5824542,28.13138637
7.74,930,0,145,68,370,104,27,39,803.5824542,29.92694292
8.14,1700,0,310,144,490,108,53,124,803.5824542,29.81172778
7.9,930,0,112,15,260,56,29,70,803.5824542,27.65196111
7.96,210,0,20,4,85,20,9,8,803.5824542,29.43980066
7.98,520,0,37,7,220,76,7,14,803.5824542,25.88412586
8.29,350,0,22,9,145,36,13,12,803.5824542,27.43365483
8.21,790,0,72,31,220,84,2,27,803.5824542,26.18065056
7.37,170,0,22,0,60,16,5,9,803.5824542,27.15169797
7.65,150,0,15,2,55,18,2,4,803.5824542,25.045889
7.33,150,0,10,0,60,20,2,6,803.5824542,29.88982519
8.22,1120,0,97,28,375,112,23,44,803.5824542,29.20378759
7.72,660,0,72,34,240,64,19,40,803.5824542,28.02926714
8.07,320,0,37,0,120,28,12,16,803.5824542,29.17511858
7.76,1060,0,160,13,450,74,64,36,803.5824542,25.40956376
7.69,1150,0,137,75,370,54,57,73,803.5824542,25.83711166
8.3,480,0,32,4,185,48,16,23,803.5824542,27.24448556
7.96,710,0,37,50,265,46,36,40,803.5824542,27.99740658
7.97,1110,0,187,106,355,80,38,80,803.5824542,29.66536532
8.14,1450,0,190,106,490,100,58,99,803.5824542,26.10117046
8.13,420,0,35,13,140,22,21,17,803.5824542,26.97144428
8.22,540,0,25,16,145,32,16,52,803.5824542,25.26806846
7.95,580,0,60,20,165,42,15,28,803.5824542,28.66704746
8.24,440,0,27,28,160,44,12,24,803.5824542,25.29619929
8.25,710,0,42,37,280,62,30,32,803.5824542,25.16571418
7.66,360,0,60,2,135,24,18,17,803.5824542,29.20723769
7.51,230,0,17,5,81,16,10,12,803.5824542,28.53382015
7.69,770,0,59,31,243,64,20,39,803.5824542,29.81924391
8.03,610,0,37,26,229,50,25,25,803.5824542,29.72241326
7.82,470,0,62,30,149,30,18,33,803.5824542,29.02983388
7.61,270,0,35,20,87,19,10,19,803.5824542,29.37393925
7.95,580,0,52,21,169,36,19,32,803.5824542,25.97083443
8.39,2640,15,517,51,531,130,50,359,803.5824542,25.54696218
8.26,1080,0,125,35,356,90,32,80,803.5824542,28.42882891
7.82,1050,0,139,59,319,74,33,79,803.5824542,29.19466178
7.21,250,0,17,6,96,24,9,10,803.5824542,26.56794731
7.13,750,0,96,12,229,48,26,63,803.5824542,28.81614065
7.81,720,0,77,12,239,56,24,53,803.5824542,25.04331899
7.73,1360,0,187,7,443,94,51,106,803.5824542,25.25173457
7.83,740,0,47,26,245,60,23,28,803.5824542,29.87241024
7.71,750,0,45,36,319,70,35,24,803.5824542,27.8665333
7.63,280,0,27,6,98,22,10,18,803.5824542,27.80746613
7.82,200,0,17,4,70,13,9,11,803.5824542,25.77404662
7.69,260,0,27,2,94,19,11,15,803.5824542,27.58652495
7.69,270,0,31,2,92,21,10,17,803.5824542,27.85046667
7.38,490,0,37,18,156,36,16,22,803.5824542,28.76758149
7.75,490,0,41,25,176,36,21,24,803.5824542,25.20321753
7.65,350,0,25,4,139,38,11,15,803.5824542,29.66933076
7.83,680,0,95,40,184,42,19,67,803.5824542,25.60066467
7.65,1090,0,113,55,378,64,53,64,803.5824542,27.60550566
7.78,270,0,22,6,98,28,7,15,803.5824542,29.85827642
8.06,640,0,83,5,196,27,31,54,803.5824542,29.43829555
7.92,750,0,102,37,207,43,24,61,803.5824542,26.93134724
7.93,920,0,123,2,294,65,32,68,803.5824542,26.29420784
8.16,390,0,29,2,152,47,8,17,803.5824542,29.10321327
8.02,1010,0,83,12,363,104,25,56,803.5824542,29.00036463
8.45,950,12,98,9,265,59,29,74,803.5824542,26.09787968
8.07,240,0,12,1,98,29,6,9,803.5824542,28.75809389
8.3,560,0,33,1,226,49,25,23,803.5824542,28.54406041
8.08,1110,0,155,7,368,41,65,83,803.5824542,29.75892335
7.96,870,0,155,18,189,43,20,112,803.5824542,28.62015097
8.14,620,0,59,1,216,57,18,40,803.5824542,28.10612513
8.21,1230,0,154,18,392,53,63,94,803.5824542,29.70297594
8.16,1440,0,222,4,456,86,59,119,803.5824542,26.4619943
8.17,1280,0,175,56,378,61,55,119,803.5824542,27.2160722
8.04,660,0,90,16,212,48,22,52,803.5824542,29.99844403
8.18,1000,0,86,28,356,96,28,55,803.5824542,25.63929047
8.59,600,21,49,2,232,58,21,29,803.5824542,27.15075306
7.75,950,0,188,6,200,57,14,110,803.5824542,27.98262738
7.6,230,0,33,3,68,23,3,20,803.5824542,29.86793769
8.07,960,0,183,3,230,51,25,96,803.5824542,25.37425726
7.82,1160,0,265,19,223,49,24,154,803.5824542,25.28417711
8.32,480,15,36,2,188,41,21,22,803.5824542,25.81213274
7.84,740,0,136,7,155,39,14,90,803.5824542,27.35847567
8.06,510,0,84,2,148,39,12,46,803.5824542,28.3008135
8.33,280,18,3,2,136,23,19,2,803.5824542,26.36304662
8.3,250,0,9,1,111,25,12,5,803.5824542,26.68327882
8.03,400,0,40,1,150,36,15,21,803.5824542,25.57781962
7.79,720,0,62,3,250,54,28,35,803.5824542,27.28540749
7.95,590,0,58,10,208,35,29,32,803.5824542,28.59425974
7.89,410,0,13,1,181,39,20,8,803.5824542,27.65301409
8.03,350,0,11,20,160,39,15,5,803.5824542,25.88689145
7.97,170,0,9,2,70,16,7,5,803.5824542,25.04627283
7.86,830,0,80,15,255,54,29,58,803.5824542,27.88151556
8.62,770,18,86,2,252,56,27,46,803.5824542,27.42282664
8.3,820,0,94,4,222,50,24,70,803.5824542,29.21601109
7.64,1210,0,188,4,330,68,39,100,803.5824542,28.18610033
8.11,1180,0,183,17,298,76,26,106,803.5824542,27.5864368
8.38,1240,18,228,10,290,65,31,144,803.5824542,28.25831878
8.35,480,21,49,3,136,34,12,32,803.5824542,25.83236048
8.26,1040,0,129,4,263,51,33,90,803.5824542,29.92102757
8.08,400,0,35,1,123,29,12,20,803.5824542,27.23101664
8.18,600,0,96,3,171,41,17,52,803.5824542,28.47303014
8.18,390,0,45,1,119,25,14,28,803.5824542,28.83306065
7.89,500,0,49,2,150,29,19,32,803.5824542,27.92898369
7.64,620,0,63,43,216,55,19,34,803.5824542,28.10301946
8.02,1040,0,205,53,242,57,24,117,803.5824542,28.03603926
8.24,780,0,105,21,262,59,28,55,803.5824542,26.35917632
7.93,1040,0,159,42,318,84,26,89,803.5824542,25.44731615
8.19,1090,0,164,23,270,61,29,115,803.5824542,26.25522704
7.69,1790,0,289,45,421,104,39,178,803.5824542,26.29027154
8.21,650,0,56,14,250,39,37,31,803.5824542,29.36380059
7.45,1250,0,178,43,374,92,35,95,803.5824542,26.3279684
8.05,1010,0,127,51,343,69,41,69,803.5824542,27.31494781
8.77,1980,9,291,148,581,157,46,184,803.5824542,26.84643993
8.25,600,0,45,36,221,55,20,26,803.5824542,26.76264063
8.26,780,0,66,19,308,69,33,36,803.5824542,26.1662508
8.25,1000,0,94,41,349,83,34,68,803.5824542,28.93064021
8.11,280,0,19,3,103,27,9,11,803.5824542,29.47272503
8.3,530,0,49,23,173,27,26,37,803.5824542,28.3113713
8.4,1470,3,223,95,199,14,40,208,803.5824542,25.30315258
8.4,630,3,79,20,153,33,17,72,803.5824542,29.12215582
8.3,620,0,51,20,209,29,33,43,803.5824542,28.65800256
8.3,400,0,19,5,158,29,21,17,803.5824542,25.42305654
8.3,360,0,23,7,133,29,15,19,803.5824542,27.11308639
7.94,630,0,71,45,186,45,18,56.3,803.5824542,26.81287443
8.01,570,0,61,69,156,45,11,43.9,803.5824542,25.98508603
8.26,1690,0,48,9,103,12,18,340.3,803.5824542,27.01777634
8.08,1580,0,200,10,265,29,47,237.8,803.5824542,25.67544951
7.92,1100,0,114,94,167,29,23,120,803.5824542,25.57959884
8.19,470,0,12,4,177,28,26,26.1,803.5824542,25.39514186
8.19,250,0,19,12,93,26,7,11.8,803.5824542,26.27062877
7.51,110,0,14,7,29,8,2,10,803.5824542,28.97729316
8.18,550,0,43,36,172,57,7,33.3,803.5824542,29.87182592
7.43,130,0,12,7,34,10,2,6.9,803.5824542,27.10918502
8.03,640,0,81,57,196,55,14,44.5,803.5824542,26.7539949
7.59,390,0,50,12,123,37,7,23.7,803.5824542,26.85207314
8.16,410,0,29,33,132,39,8,15.4,803.5824542,29.47024012
7.63,430,0,24,15,162,59,4,21.8,803.5824542,27.07534267
7.31,210,0,24,5,64,16,6,15,803.5824542,26.66297479
8.1,510,0,38,12,123,26,14,58.8,803.5824542,29.91544944
7.89,650,0,55,10,230,29,38,41.1,803.5824542,25.82902988
8.11,260,0,10,5,93,28,6,14.4,803.5824542,27.66019362
8.19,780,0,79,58,152,10,31,101.4,803.5824542,26.28863045
7.83,760,0,102,81,263,63,26,53.2,803.5824542,28.93426275
7.85,360,0,37,4,111,16,17,30.2,803.5824542,29.36557539
6.74,340,0,37,6,115,20,16,22,803.5824542,29.31550221
7.71,570,0,82,12,180,34,23,47,803.5824542,29.70346093
7.16,410,0,60,37,125,22,17,33,803.5824542,27.11096065
7.77,300,0,12,6,110,26,11,16,803.5824542,27.0863326
7.96,310,0,10,4,120,38,6,14,803.5824542,29.27069381
7.91,440,0,50,10,180,52,12,17,803.5824542,25.11802564
7.81,240,0,7,5,85,22,7,15,803.5824542,29.85275876
7.67,640,0,110,5,255,64,23,28,803.5824542,25.24122091
8.02,620,0,97,29,265,66,24,20,803.5824542,29.53897029
7.55,140,0,5,1,60,22,1,3,803.5824542,28.10178543
7.85,300,0,27,3,110,38,4,15,803.5824542,27.34145893
8.13,280,0,22,4,110,22,13,10,803.5824542,28.14972138
8.08,400,0,35,8,145,44,9,21,803.5824542,28.57459498
7.92,220,0,17,4,60,20,2,17,803.5824542,28.76791502
8.11,330,0,30,10,125,48,1,12,803.5824542,27.20356993
7.61,470,0,55,26,155,56,4,30,803.5824542,27.85704433
8.06,650,0,50,17,235,58,22,28,803.5824542,26.66312612
7.75,270,0,27,6,95,30,5,14,803.5824542,25.23149324
7.53,250,0,17,0,105,26,10,6,803.5824542,27.30171767
7.9,440,0,60,26,140,52,2,29,803.5824542,29.12746218
7.75,220,0,17,6,75,24,4,9,803.5824542,29.65603428
8.26,460,0,15,6,175,36,21,23,803.5824542,27.93062674
7.89,680,0,52,23,225,54,22,35,803.5824542,27.15906281
7.51,200,0,17,4,70,24,2,10,803.5824542,25.55255624
8.16,310,0,25,7,105,28,9,19,803.5824542,25.77967482
7.75,350,0,35,7,140,18,23,9,803.5824542,27.99586543
7.64,310,0,15,7,120,42,4,13,803.5824542,28.34354634
7.67,490,0,33,7,195,41,22,18.79,803.5824542,29.06323196
7.66,1710,0,320,68,352,62,48,230.6,803.5824542,27.74520083
8.01,380,0,31,6,137,23,19,22.6,803.5824542,25.01822584
8,680,0,57,38,264,55,31,31.25,803.5824542,27.36411478
7.91,950,0,168,21,259,51,32,96.13,803.5824542,29.51877004
7.9,740,0,76,51,273,57,32,41.75,803.5824542,28.38822546
7.57,2360,0,526,67,352,66,45,380.15,803.5824542,26.59954532
7.84,790,0,123,13,234,41,32,71.83,803.5824542,29.8297367
7.97,1160,0,149,36,356,61,49,99.15,803.5824542,25.7591744
7.84,870,0,97,21,278,45,40,67.1,803.5824542,28.33634727
7.83,840,0,111,37,288,61,33,56.03,803.5824542,28.60795516
7.94,800,0,89,5,269,46,37,54.73,803.5824542,27.79336188
8.12,474.1,0,64,22.7,164.1,45.22,12.43,40.1,803.5824542,29.79901183
7.28,267.9,0,47.4,43.4,20.5,2.06,3.73,52.9,803.5824542,28.97466499
7.82,371.6,0,61.6,15,123.1,30.83,11.19,34.6,803.5824542,27.89039776
7.48,87.7,0,15.3,3.6,27.7,10.28,0.49,9.8,803.5824542,26.00912187
7.71,420.9,0,52.1,12.7,143.6,32.89,14.93,19.9,803.5824542,27.75633409
7.49,354.7,0,56.1,2.5,156.5,39.05,14.33,17,803.5824542,26.50192273
7.67,994.8,0,248.7,26,323.1,59.61,42.31,83.8,803.5824542,25.80432092
7.85,500.4,0,104.2,27.7,128.2,37,8.7,65.2,803.5824542,27.09347802
7.6,151.6,0,15.3,2.1,60.7,18.5,3.52,9.1,803.5824542,28.30938812
7.87,348.8,0,26.1,8.2,128.2,20.55,18.67,23.9,803.5824542,29.52160429
8.06,975.5,0,208.5,29,220.5,51.38,22.39,95.4,803.5824542,26.75935084
7.5,189.3,0,45,2.3,46.2,12.33,3.73,15.1,803.5824542,29.95790311
7.54,60.4,0,9.5,0,30.8,8.22,2.49,3,803.5824542,26.13258182
8.01,556.4,0,78.2,43,184.6,49.33,14.92,45.1,803.5824542,27.86664338
7.52,208,0,35.5,3,71.8,16.44,7.46,14.7,803.5824542,26.50626159
7.95,400.2,0,16.6,8.4,189.7,16.44,36.11,20.7,803.5824542,29.79199042
7.6,170,0,30.8,5.2,51.3,16.44,2.48,11,803.5824542,25.51449234
7.47,213.9,0,42.4,9.4,65.1,14.39,7.09,23.7,803.5824542,28.71438067
7.8,123,0,19.4,0.7,54.5,18.5,2.01,6.6,803.5824542,27.48956264
7.93,200.4,0,28.8,0.8,110.4,39.05,3.13,12.5,803.5824542,25.01511288
7.44,250.1,0,59.2,5.3,71.8,20.55,4.97,26.7,803.5824542,25.98562878
7.33,57.8,0,11.9,2.9,26.4,6.17,2.66,4,803.5824542,29.70197402
7.78,184.8,0,26.7,2.5,76.3,24.66,3.56,17.3,803.5824542,29.40817621
7.64,134.8,0,21,9.5,51.4,14.39,3.76,15,803.5824542,25.57226352
7.85,365.4,0,69.1,4.1,135.8,41.11,8.06,19.7,803.5824542,29.83528765
7.45,222.4,0,51,1.6,49.1,14.39,3.2,23.1,803.5824542,29.0175381
7.79,504.4,0,135,0.5,153.8,47.27,8.69,61.4,803.5824542,27.60429211
8.01,315.6,0,45,24.2,148.7,45.22,8.7,19.8,803.5824542,27.05715245
7.87,156.3,0,11.5,22.3,103.6,28.78,7.71,5.8,803.5824542,27.05558797
7.58,113.6,0,21.9,1.4,44.2,12.33,3.25,10.7,803.5824542,28.52489533
7.91,260.7,0,35.5,2.1,92.3,28.78,4.97,18,803.5824542,29.07679021
8.19,223.8,0,14.3,14.5,105,24.66,10.55,18.5,803.5824542,25.49075787
7.79,253.6,0,43.3,7.1,100.2,28.78,6.89,21,803.5824542,26.23966806
7.98,55.7,0,7.4,3.4,12.5,2.06,1.78,5,803.5824542,27.99295395
7.9,350.5,0,26.1,1.4,148.7,22.61,22.4,18.1,803.5824542,26.11862722
8,232.5,0,32.8,11.6,99.3,32.89,4.17,25.6,803.5824542,28.84697188
7.29,414.9,0,49.7,11,123.1,37,7.45,37.6,803.5824542,26.31378855
7.76,730,0,54,34,256,47,34,44.6,803.5824542,28.07219471
7.13,100,0,8,5,37,8,4,3.7,803.5824542,28.08254069
7.74,820,0,102,70,305,78,27,42.5,803.5824542,27.01192901
7.94,480,0,39,17,187,60,9,21,803.5824542,27.44933562
7.15,90,0,14,8,25,4,4,7.2,803.5824542,26.06211949
7.48,120,0,13,7,48,12,4,4.7,803.5824542,28.34300073
7.74,170,0,16,7,62,21,2,7.6,803.5824542,28.13826565
7.56,380,0,64,16,103,33,5,33.3,803.5824542,29.4097995
8.07,450,0,22,8,197,66,8,7.4,803.5824542,25.35184868
7.38,1130,0,165,51,350,110,18,65.9,803.5824542,26.60228862
7.04,480,0,50,6,185,60,9,23,803.5824542,26.69099431
7.9,530,0,20,6,225,54,22,17,803.5824542,29.28454135
7.73,1670,0,292,57,575,152,47,71,803.5824542,29.86914254
7.88,420,0,17,1,200,48,19,2,803.5824542,27.14590254
6.05,180,0,22,1,65,20,4,9,803.5824542,27.52735139
6.44,910,0,240,4,385,122,19,30,803.5824542,26.7945066
7,320,0,30,25,120,38,6,16,803.5824542,26.52077307
7.43,1000,0,130,33,295,72,28,39,803.5824542,28.05965573
7.51,240,0,20,5,100,32,5,7,803.5824542,26.63000712
7.34,680,0,97,1,200,68,7,39,803.5824542,28.05463025
7.56,700,0,110,1,340,70,40,2,803.5824542,27.26993238
5.64,190,0,22,1,60,20,2,14,803.5824542,29.32147619
6.89,170,0,20,1,60,20,2,8,803.5824542,29.78384618
7.38,1110,0,157,55,475,90,61,19,803.5824542,26.81386249
7.11,240,0,20,1,90,26,6,12,803.5824542,26.88976182
6.27,330,0,72,1,90,28,5,33,803.5824542,26.27331914
7.21,360,0,17,1,150,54,4,10,803.5824542,27.63092372
7.49,290,0,15,1,85,30,2,20,803.5824542,29.97822185
7.39,610,0,50,16,175,62,5,26,803.5824542,28.94600672
6.92,270,0,20,3,105,40,1,12,803.5824542,29.70750294
8.4,940,3,121,51,332,88,27,62,803.5824542,25.46409988
8,260,0,7,0,107,14,17,9,803.5824542,26.79533637
8.4,1070,3,102,50,286,33,49,113,803.5824542,26.92059824
8.4,830,3,125,20,260,76,17,56,803.5824542,25.09962354
7.74,600,0,43,51,195,39,24,45.7,803.5824542,27.71048667
8,240,0,7,9,86,27,4,13,803.5824542,27.80336302
7.63,420,0,48,20,165,45,13,18.9,803.5824542,27.89692445
8,350,0,28,20,87,35,10,18,803.5824542,27.81031628
7.7,1550,0,316,135,138,55,108,81,803.5824542,28.12222683
8,450,0,33,50,97,39,26,11,803.5824542,29.92278522
8.2,1500,0,251,130,337,135,39,99,803.5824542,27.57271369
8.11,350,0,16,41,82,33,12,17,803.5824542,27.4381751
7.76,800,0,86,104,82,33,55,44,803.5824542,29.89327753
8,650,0,26,75,36,14,40,63,803.5824542,26.91868972
8,950,0,107,87,158,63,36,70,803.5824542,25.59627196
8,500,0,60,41,107,43,27,20,803.5824542,28.90691135
8,300,0,19,5,92,37,10,15,803.5824542,25.92211031
7.8,160,0,9,1,41,16,4,15,803.5824542,28.6873338
7.8,850,0,81,105,66,27,49,80,803.5824542,27.33616964
8,450,0,56,41,82,33,15,46,803.5824542,27.94543425
7.9,450,0,42,26,82,33,30,19,803.5824542,27.23677384
7.8,450,0,16,51,41,16,40,18,803.5824542,26.11513603
8.1,350,0,26,32,82,33,16,14,803.5824542,26.19040393
7.9,300,0,37,16,82,33,13,15,803.5824542,27.91700869
8,250,0,14,15,77,31,5,15,803.5824542,29.74815935
8,200,0,16,4,41,16,13,15,803.5824542,25.56452678
7.8,950,0,153,110,214,86,34,62,803.5824542,29.9904454
8,400,0,16,25,46,18,34,10,803.5824542,25.17872697
