STATE,DISTRICT,BLOCK,LOCATION,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature,St Temp,St Ph,St Ec,St CO3,St CL,St SO4,St TH,St CA,St Mg,St Na,St TDS,WQI
A&N Islands,South Andaman,PORT BLAIR,Mamyo,11.5975,92.63278,2021,7.55,169,0,25,0,60,16,5,13,112,29.82752001,25,8.5,300,250,250,250,500,75,30,200,500,27.38273455
A&N Islands,South Andaman,PORT BLAIR,Lamba Line,11.645,92.73083,2021,7.81,326,0,43,2,110,36,5,29,223,31.06762935,25,8.5,300,250,250,250,500,75,30,200,500,40.97307734
A&N Islands,South Andaman,FERRARGUNJ,Mount Harriyat,11.72139,92.73306,2021,7.04,202,0,21,17,100,22,11,3,121,24.56604715,25,8.5,300,250,250,250,500,75,30,200,500,26.83310805
A&N Islands,N&M Andaman,RONGET,Phooltala Basti,12.41167,92.76222,2021,7.91,499,0,43,1,225,22,41,19,300,29.51671829,25,8.5,300,250,250,250,500,75,30,200,500,58.46971574
A&N Islands,N&M Andaman,DIGLIPUR,Kishorinagar (Parangara),13.165,92.88167,2021,7.38,157,0,18,5,65,12,9,6,95,33.31052865,25,8.5,300,250,250,250,500,75,30,200,500,27.37352557
A&N Islands,N&M Andaman,DIGLIPUR,Milangram,13.31417,92.94111,2021,7.91,931,0,113,61,345,30,66,55,515,22.59340847,25,8.5,300,250,250,250,500,75,30,200,500,90.04305763
A&N Islands,N&M Andaman,DIGLIPUR,Shibpur,13.24306,93.04417,2021,7.72,748,0,67,0,260,74,18,63,439,24.72062839,25,8.5,300,250,250,250,500,75,30,200,500,68.45295578
A&N Islands,N&M Andaman,DIGLIPUR,Keralapuram,13.26,93.01333,2021,8.07,481,0,32,47,125,24,16,44,279,30.62813379,25,8.5,300,250,250,250,500,75,30,200,500,52.17386683
A&N Islands,N&M Andaman,MAYABUNDER,Pahalgaon,12.83944,92.85333,2021,7.64,616,0,32,7,250,22,47,25,340,27.70269612,25,8.5,300,250,250,250,500,75,30,200,500,62.81007132
A&N Islands,N&M Andaman,MAYABUNDER,Joypur,12.69944,92.88139,2021,8.07,516,0,14,3,225,22,41,5,267,20.23357708,25,8.5,300,250,250,250,500,75,30,200,500,54.3606947
A&N Islands,N&M Andaman,MAYABUNDER,Betapur,12.62583,92.92111,2021,8.03,427,0,25,37,175,16,33,13,246,24.16568519,25,8.5,300,250,250,250,500,75,30,200,500,50.40873401
A&N Islands,Havelock Island,PORT BLAIR,Havelock Island Jetty,12.04111,92.98083,2021,7.66,1076,0,138,91,280,80,19,107,645,20.47553408,25,8.5,300,250,250,250,500,75,30,200,500,89.51534573
A&N Islands,Havelock Island,PORT BLAIR,Vijaynagar,12.00528,93.00694,2021,7.54,579,0,46,4,235,62,19,32,370,20.81905741,25,8.5,300,250,250,250,500,75,30,200,500,55.93420269
A&N Islands,Havelock Island,CHAKULIA,Kalapathar,11.97472,93.00583,2021,7.48,895,0,71,0,285,78,22,87,530,33.88585526,25,8.5,300,250,250,250,500,75,30,200,500,79.82818979
A&N Islands,Havelock Island,PORT BLAIR,Krishnanagar,12.00028,92.97583,2021,7.58,446,0,28,63,195,60,11,3,321,31.4808486,25,8.5,300,250,250,250,500,75,30,200,500,51.91121767
A&N Islands,Neil Island,PORT BLAIR,Pearl Park Resort,11.84583,92.015,2021,7.55,673,0,74,21,240,64,19,49,436,22.25627273,25,8.5,300,250,250,250,500,75,30,200,500,63.3083416
A&N Islands,Neil Island,PORT BLAIR,Ramnagar,13.31417,92.94111,2021,7.65,593,0,50,10,240,54,26,23,333,28.08167208,25,8.5,300,250,250,250,500,75,30,200,500,60.190305
Andhra Pradesh,Visakhapatnam,GUDEM KOTHAVEEDI,Dharakonda,17.9083,82.1208,2021,6.8,410,0,25,8,180,38,21,13,803.5824542,20.33075705,25,8.5,300,250,250,250,500,75,30,200,500,49.24904719
Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-1,17.8833,83.4333,2021,7.2,760,0,82,20,195,50,17,71,803.5824542,28.31518435,25,8.5,300,250,250,250,500,75,30,200,500,70.84338439
Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-2,17.8833,83.4333,2021,7.3,2650,0,298,160,780,184,78,164,803.5824542,24.10941336,25,8.5,300,250,250,250,500,75,30,200,500,189.7291646
Andhra Pradesh,Visakhapatnam,NAKKALLI,Gurrajupeta,17.3819,82.7708,2021,7.21,2750,0,397,143,780,200,68,274,803.5824542,25.12160645,25,8.5,300,250,250,250,500,75,30,200,500,199.4729924
Andhra Pradesh,Visakhapatnam,KOTAURATLA,Purshotta Puram,17.5083,82.6667,2021,7.69,1400,0,99,70,310,64,36,175,803.5824542,31.2294826,25,8.5,300,250,250,250,500,75,30,200,500,110.9758565
Andhra Pradesh,Visakhapatnam,KOYYURU,Pata K.d.peta,17.6708,82.3625,2021,7.5,1150,0,71,45,390,104,32,62,803.5824542,26.43428893,25,8.5,300,250,250,250,500,75,30,200,500,98.53214969
Andhra Pradesh,Visakhapatnam,S.RAYAVARAM,Rayavaram,17.4583,82.85,2021,7.61,2140,0,298,80,580,56,107,219,803.5824542,28.50901844,25,8.5,300,250,250,250,500,75,30,200,500,166.9805362
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Lawson's Bay,17.7306,83.3433,2021,7.31,2740,0,269,135,540,56,97,334,803.5824542,25.64375534,25,8.5,300,250,250,250,500,75,30,200,500,184.7174102
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Kancherapalem (Govt. Polytech,17.7342,83.28,2021,7.7,1140,0,78,70,320,48,49,117,803.5824542,31.31940458,25,8.5,300,250,250,250,500,75,30,200,500,101.9721917
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Pithapuram,17.7153,83.3319,2021,7.28,690,0,71,35,205,42,24,60,803.5824542,30.88863038,25,8.5,300,250,250,250,500,75,30,200,500,71.12160718
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Gopalpatnam PZ,17.7617,83.2203,2021,7.6,800,0,71,36,250,46,33,64,803.5824542,30.56561736,25,8.5,300,250,250,250,500,75,30,200,500,80.52536003
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Anandapuram PZ,17.8919,83.3711,2021,7.4,350,0,14,13,105,28,9,23,803.5824542,30.60279895,25,8.5,300,250,250,250,500,75,30,200,500,48.82675939
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Akkireddipalem PZ,17.7092,83.2072,2021,7.29,780,0,35,35,205,36,28,85,803.5824542,22.32425895,25,8.5,300,250,250,250,500,75,30,200,500,71.1072903
Andhra Pradesh,Visakhapatnam,BUCHCHAYYAPETA,L.Singavaram,17.8139,82.8167,2021,7.3,950,0,35,29,305,54,41,78,803.5824542,33.00549166,25,8.5,300,250,250,250,500,75,30,200,500,87.60652644
Andhra Pradesh,Visakhapatnam,PENDURTI,Bandavaripalem X road,17.7147,82.5906,2021,7.6,1630,0,142,281,560,64,97,98,803.5824542,23.48483898,25,8.5,300,250,250,250,500,75,30,200,500,143.3505315
Andhra Pradesh,Visakhapatnam,GOLUGONDA,Naganna Dorapalem,17.7014,82.4792,2021,7.32,850,0,11,18,275,56,33,69,803.5824542,21.31398703,25,8.5,300,250,250,250,500,75,30,200,500,76.03688839
Arunachal Pradesh,PAPUMPARE,Doimukh,Naharlagun I,27.1,93.69,2021,8.07,367.3,0,31.905,14.94,155,16.01,27.9,14.49,197.5,20.28843045,25,8.5,300,250,250,250,500,75,30,200,500,44.15909592
